"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"20.09.2023","2.418,0","2.456,8","2.460,0","2.358,0","1,50M","-0,99%"
"19.09.2023","2.442,2","2.527,0","2.527,0","2.422,2","1,28M","-3,01%"
"18.09.2023","2.518,0","2.594,0","2.620,0","2.508,8","820,16K","-1,95%"
"15.09.2023","2.568,0","2.499,0","2.588,0","2.485,0","630,96K","2,36%"
"14.09.2023","2.508,8","2.551,4","2.561,2","2.450,2","1,13M","-1,65%"
"13.09.2023","2.550,8","2.580,2","2.633,0","2.535,6","1,04M","-1,10%"
"12.09.2023","2.579,2","2.497,0","2.598,0","2.497,0","1,05M","3,63%"
"11.09.2023","2.488,8","2.567,0","2.584,8","2.470,0","1,19M","-2,31%"
"08.09.2023","2.547,6","2.585,6","2.609,0","2.526,2","864,92K","-1,47%"
"07.09.2023","2.585,6","2.664,8","2.673,4","2.555,2","1,56M","-2,96%"
"06.09.2023","2.664,6","2.730,0","2.733,0","2.653,0","950,62K","-2,27%"
"05.09.2023","2.726,6","2.744,8","2.754,8","2.711,2","588,47K","-0,63%"
"04.09.2023","2.744,0","2.690,0","2.756,0","2.688,8","1,17M","2,00%"
"01.09.2023","2.690,2","2.690,0","2.700,0","2.670,0","418,29K","0,04%"
"31.08.2023","2.689,0","2.668,0","2.694,0","2.641,8","599,95K","0,78%"
"30.08.2023","2.668,2","2.689,2","2.708,0","2.654,6","572,95K","-1,13%"
"29.08.2023","2.698,8","2.666,6","2.710,0","2.666,0","803,01K","1,08%"
"28.08.2023","2.670,0","2.655,0","2.685,0","2.652,0","563,68K","0,81%"
"25.08.2023","2.648,6","2.649,4","2.669,8","2.630,4","416,41K","0,01%"
"24.08.2023","2.648,4","2.630,0","2.660,4","2.619,6","468,08K","1,71%"
"23.08.2023","2.604,0","2.714,0","2.720,0","2.589,6","1,28M","-3,94%"
"22.08.2023","2.710,8","2.676,8","2.718,4","2.650,0","1,03M","1,82%"
